name,Affiliation,Citations
canwen xu,UC San Diego,14
salimur choudhury,"Assistant Professor, Lakehead University ",344
tu minh phuong,"Posts & Telecommunications Institue of Technology, Vietnam ",851
hal finkel,Argonne National Laboratory,1381
marcus liwicki,"Luleå University of Technology, EISLAB, Machine Learning, Sweden ",6358
jerker delsing,"Professor Luleå University of Technology, EISLAB ",3536
hanchu zhang,Luleå university of technology,28
tosin p. adewumi,"PhD Candidate, Luleå University of Technology, EISLAB, Machine Learning ",2
johan bos,"Professor of Computational Semantics, University of Groningen ",6396
gertjan van noord,"Professor of Language Technology, University of Groningen ",3807
malvina nissim,"Professor of Computational Linguistics and Society, Rijksuniversiteit Groningen ",2485
arianna bisazza,"Assistant Professor, University of Groningen ",1081
lasha abzianidze,"CLCG, University of Groningen ",210
andreas van cranenburgh,University of Groningen,202
elizaveta kuzmenko,University of Groningen,197
gideon maillette de buy wenniger,"Postdoctoral Researcher, University of Groningen ",154
prajit dhar,"PhD Candidate, University of Groningen ",9
pascal vaillant,"enseignant-chercheur en informatique linguistique, Université Paris 13 ",258
hazem m. abbas,"Visiting Professor, School of Computing, Queen's University at Kingston ",873
farhana zulkernine,"Assistant Professor, School of Computing, Queen's University ",865
anuja arora,"Associate Professor, Dept of CSE and IT, Jaypee Institute of information technology ",463
himangi mittal,"Carnegie Mellon University, Jaypee Institute of Information Technology ",17
keshav kolluru,"PhD student, IIT Delhi ",1
manraj singh grover,"Research Associate, MIDAS Lab, Indraprastha Institute of Information Technology, Delhi ",12
einat minkov,"Univ. of Haifa, Israel ",1780
osnat mokryn,University of Haifa,749
zixing zhang,Huawei Technologies Research & Development (UK) Ltd,2161
yuankai qi,"Ph.D, The University of Adelaide ",916
wei emma zhang,"Lecturer, The University of Adelaide ",264
curtis murray,University of Adelaide,1
david hin,University of Adelaide,1
balaji vasan srinivasan,"Adobe Research, India ",564
ramakanth kavuluru,"Associate Professor, University of Kentucky ",927
brent harrison,"Assistant Professor, University of Kentucky ",824
krystian koziel,"AGH University of Science and Technology, Faculty of Mining Surveying and Environmental … ",263
khalid m. saqr,"Arab Academy for Science, Technology and Maritime Transport ",1580
amr adel helmy,"Masters in Computer Science, AASTMT, Egypt ",6
thomas kober,rasa,94
xavier marjou,Orange,87
omar al-harbi,"Assistant professor, Jazan University ",23
bogdan gliwa,AGH,220
s?awomir dadas,"National Information Processing Institute, Warsaw, Poland ",47
anas showk,University of Khartoum,108
matthew shardlow,"Lecturer, Manchester Metropolitan University ",419
chidiebere ugwu,"Dr. of Biochemistry Nnamdi Azikiwe University Awka, nigeria. ",740
sunyang fu,Mayo Clinic,62
johannes fuernkranz,"Johannes Kepler University, Linz ",9385
johannes fürnkranz,"Johannes Kepler University, Linz ",9385
navid rekabsaz,Assistant Professor at Johannes Kepler University (JKU),162
david schlangen,"Professor, ""Foundations of Computational Linguistics"", University of Potsdam ",2635
lena a. jäger,University of Potsdam,435
chris biemann,"Professor for Language Technology, University of Hamburg ",4958
ali jannesari,"Assistant Professor, Iowa State University ",557
forrest sheng bao,"Assistant Professor, Computer Science, Iowa State University ",1757
borzoo bonakdarpour,"Assistant Professor of Computer Science, Iowa State University ",1404
homagni saha,"PhD (ME,CS), Iowa State University ",33
mohit iyyer,"Assistant Professor, University of Massachusetts Amherst ",6564
trapit bansal,University of Massachusetts Amherst,625
keping bi,University of Massachusetts Amherst,173
andrew drozdov,UMass-Amherst,160
su lin blodgett,"Graduate Student, University of Massachusetts Amherst ",152
rumeng li,Umass Amherst,145
abram handler,"PhD student at University of Massachusetts, Amherst ",72
sheikh muhammad sarwar,"CIIR, University of Massachusetts Amherst ",69
kalpesh krishna,"University of Massachusetts, Amherst ",51
sheshera mysore,University of Massachusetts Amherst,35
bhanu pratap singh rawat,"PhD candidate , UMass-Amherst ",31
michael boratko,UMass Amherst,28
subendhu rongali,University of Massachusetts Amherst,25
katherine a. keith,"PhD student, University of Massachusetts Amherst ",24
nader akoury,University of Massachusetts Amherst,15
helia hashemi,"Ph.D. Student, University of Massachusetts Amherst ",11
somin wadhwa,"Graduate Student, University of Massachusetts, Amherst ",10
puxuan yu,University of Massachusetts Amherst,4
w. bruce croft,"Distinguished Professor of Computer Science, University of Massachusetts Amherst ",53636
sarah ebling,"University of Zurich, Institute of Computational Linguistics ",213
aarne talman,"University of Helsinki, Nordcloud ",41
tshephisho sefara,Council for Scientific and Industrial Research,52
elena demidova,"Research Group Leader, L3S Research Center, Leibniz Universität Hannover, Germany ",855
tarcísio souza costa,"PhD Candidate at L3S Research Center, Leibniz Universität Hannover, Germany ",122
simon gottschalk,L3S Research Center,97
mohamad yaser jaradeh,"L3S Research Center, Leibniz University Hannover ",46
mahmoud al-ayyoub,"Professor of Computer Science, Jordan University of Science and Technology ",4959
aisha al-sadi,Jordan University of Science and Technology,26
hana al-theiabat,Jordan University  of Science and Technology,7
saja khaled tawalbeh,Jordan University of Science and Technology,3
mohammed maree,Arab American University,142
sotirios chatzis,Assistant Professor @ Cyprus University of Technology,1538
matthias nießner,"Professor of Computer Science, Technical University of Munich ",6982
thomas runkler,"Professor of Computer Science, Siemens AG, Technische Universität München ",5841
evin pinar ornek,"MSc Computer Science Student, Technical University of Munich ",27
daniel elsner,Technical University of Munich,9
sebastian bischoff,Student at Technical University of Munich,3
hala mulki,"Department of Computer Engineering, Selcuk University ",63
riccardo del gratta,"Istituto di LInguistica Computazionale ""A. Zampolli"" ",311
omid rohanian,"PhD student, University of Wolverhampton ",64
galina lavrentyeva,Speech Technology Center,285
haewoon kwak,"Senior Scientist, Qatar Computing Research Institute, Hamad Bin Khalifa University ",13767
preslav nakov,"Principal Scientist, Qatar Computing Research Institute (QCRI), HBKU ",8702
ingmar weber,Qatar Computing Research Institute,6687
kareem darwish,"Qatar Computing Research Institute, Qatar Foundation ",2942
ferda ofli,"Senior Scientist at Qatar Computing Research Institute (QCRI), Hamad Bin Khalifa … ",2377
jisun an,Scientist at Qatar Computing Research Institute,1279
giovanni da san martino,Qatar Computing Research Institute,1089
saravanan thirumuruganathan,Scientist @ Data Analytics @ Qatar Computing Research Institute @ HBKU,852
fahim dalvi,Qatar Computing Research Institute,429
shaden shaar,"Research Assistant, Qatar Computing Research Institute ",1
safeeullah soomro,Ashburn Virginia USA,340
muhidin mohamed,"EAS, Aston University ",88
thomas zenkel,Lilt,74
dionysis goutsos,National and Kapodistrian University of Athens,1144
konstantinos perifanos,National and Kapodistrian University of Athens,88
razvan bunescu,Ohio University,9538
juan m. banda,Georgia State University,844
javad rafiei asl,PhD Candidate at Georgia State University,21
eugene agichtein,"Associate Professor of Computer Science, Emory University ",12029
calton pu,"Professor and JP Imlay, Jr. Chair in Software, School of Computer Science, Georgia Tech ",19640
duen horng,"Professor of Computer Science, Georgia Tech ",4561
duen horng chau,"Professor of Computer Science, Georgia Tech ",4561
peter j. liu,Auburn University,177
peter j liu,Auburn University,177
jiamou liu,The University of Auckland,404
qiming bao,The University of Auckland,1
martin potthast,Leipzig University,5674
lorenz bühmann,"Phd Student, Universität Leipzig ",1794
faisal alshargi,Universität Leipzig,67
rashid mehdiyev,"University of Texas, Austin ",76465
ben gelman,University of Texas,8246
alexander huth,Assistant Professor CS & Neuroscience UT Austin,2531
john t. foster,The University of Texas at Austin,1299
amol kelkar,"Research Scientist, Got It AI, University of Texas at Austin ",318
junyi jessy li,The University of Texas at Austin,304
siyi liu,University of Texas at Austin,153
gurbinder gill,University of Texas at Austin,142
wei-jen ko,UT Austin,116
numa dhamani,University of Texas at Austin,104
aishwarya padmakumar,University of Texas at Austin,92
yasumasa onoe,"Graduate Student, UT Austin ",87
elisa ferracane,University of Texas at Austin,76
diego garcia-olano,University of Texas at Austin,16
pengyu nie,The University of Texas of Austin,9
sheena panthaplackel,The University of Texas at Austin,2
katrin erk,"Professor of Computational Linguistics, University of Texas at Austin ",4170
angela s. lin,"Graduate Student, University of Texas at Austin ",174
lala li,"Associate Professor of Advertising and Public Relations, University of Texas at Austin ",2268
denis parra,Pontificia Universidad Catolica de Chile,1499
vladimir araujo,Pontificia Universidad Católica de Chile,4
roberto lotufo,"Professor da Faculdade de Engenharia Elétrica e de Computação, Universidade Estadual … ",7435
franco m. luque,Universidad Nacional de Córdoba & CONICET,183
andréa carneiro linhares,"Maître de conférences, Université Fédérale du Ceara, Brésil ",120
jorge louçã,ISCTE-IUL,280
paulo mann,"… Associado 2, Faculdade de Odontologia de Ribeirão Preto, Universidade de São Paulo ",1834
camila kolling,Pontifícia Universidade Católica do Rio Grande do Sul,4
fred freitas,"Professor de Ciência da Computação, Centro de Informática, Universidade Federal de … ",658
andré lage-freitas,Universidade Federal de Alagoas (UFAL),83
andrés chacoma,IFEG-CONICET (UNC - FAMAF),50
bianca zadrozny,IBM Research Brasil,5537
brenda salenave santana,UFRGS,1
agustín gravano,"CONICET and Universidad Torcuato Di Tella, Argentina ",1605
cleber zanchettin,Universidade Federal de Pernambuco,697
andréa b. duque,UFPE,1
tsvetomila mihaylova,"PhD Student, Instituto de Telecomunicações, Lisbon, Portugal ",147
giovanni saponaro,"Institute for Systems and Robotics (ISR/IST), LARSyS, Instituto Superior Técnico, U. Lisboa ",143
zita marinho,"Priberam Labs,  Institute for Systems and Robotics (ISR/IST), LARSyS, Univ Lisboa ",111
eugénio ribeiro,"PhD Student, INESC-ID, Instituto Superior Técnico, ULisboa ",75
juan manuel ortiz de zarate,Associate Professor. Applied Physics. Universidad Complutense,2204
sandra maria aluisio,Senior Professor of Computer Science at University of São Paulo (ICMC-USP),2692
alexander gelbukh,Instituto Politécnico Nacional,8319
francisco gomez-martin,"Professor of Animal Science, Universidad Autonoma de Baja California ",7722
hernán larralde,Instituto de Ciencias Físicas UNAM,3267
andrei popescu-belis,"Professor of Computer Science, HEIG-VD / HES-SO, Yverdon-les-Bains ",2746
tereza novotná,Universite libre de Bruxelles,277
elvys linhares pontes,"Postdoc in Computer Science, L3i, University of La Rochelle, France ",104
nicolas dugué,University of Le Mans,188
tom diethe,Amazon; University of Bristol,797
junyang lin,Alibaba Group,330
shanbo cheng,Alibaba Group,73
xusheng luo,Alibaba Group,48
ruiying geng,Alibaba Group,18
yufei feng,Alibaba Group,17
qianghuai jia,Alibaba Group,15
karam abdulahhad,Postdoctoral Fellow at GESIS (Leibniz-Institute for the Social Sciences),68
rainer gemulla,"Professor for Computer Science, University of Mannheim, Germany ",3166
mohamed seghir hadj ameur,University of Science and Technology Houari Boumediene,33
ahmed guessoum,"Professor of Computer science, University of Science and Technology Houari Boumediene … ",509
